,W,T,T_HP,T_Dy,W_TVIT,W_Fwd_TVIT,W_4QPi_TVIT,W_JPT
1987q3,0.59252,2.746,2.1767,2.2291,0.96142,1.3341,0.90902,0.41379
1987q4,1.8212,4.4797,3.7936,3.1829,2.1632,1.6612,1.8988,0.66891
1988q1,0.12658,2.4768,2.0372,1.8708,0.50664,0.55198,0.74829,-0.39275
1988q2,2.069,4.5937,3.4501,3.1363,2.7176,2.4334,2.706,0.95426
1988q3,1.8278,4.1137,3.0639,3.1286,3.5764,4.223,3.2166,1.2135
1988q4,3.0214,6.4083,4.5821,4.3922,4.9532,4.1666,4.0398,1.6716
1989q1,3.6659,6.3491,4.7059,4.7451,5.9103,6.0513,4.9541,2.099
1989q2,2.5592,6.1269,4.5136,4.7144,5.5536,5.4913,4.0935,1.0214
1989q3,1.155,5.4725,3.6917,3.8384,3.6141,3.1188,2.4323,-0.34344
1989q4,0.025486,3.5779,1.7165,2.3827,1.375,2.3152,1.5384,-0.67393
1990q1,0.93363,4.4362,2.2772,2.7653,1.085,1.4244,2.3423,-0.96953
1990q2,0.21742,2.9997,1.4662,2.3412,1.0479,2.1071,2.1932,-0.47664
1990q3,-1.1139,1.874,0.76503,2.1387,1.4815,2.6622,1.1717,-0.48821
1990q4,-3.305,-0.71411,-1.524,0.79435,-0.40611,1.845,-1.1636,-1.5659
1991q1,-4.4353,-1.5699,-2.7446,-0.11947,-3.7,-2.1153,-3.2196,-3.177
1991q2,-3.6416,-0.47807,-1.1672,0.94829,-1.9086,-0.42024,-2.1317,-1.6585
1991q3,-3.2749,-1.5945,-1.2481,0.61591,-2.2131,-0.31887,-1.9125,-1.324
1991q4,-4.2612,-2.4753,-1.388,0.2545,-3.7389,-2.2009,-3.4197,-2.1701
1992q1,-3.3564,-1.8484,-0.34457,0.57662,-3.8571,-3.2136,-3.26,-2.023
1992q2,-3.0853,-1.9769,0.39994,0.84327,-2.4647,-1.6032,-2.8439,-1.2965
1992q3,-2.9854,-2.0603,0.62885,0.55423,-2.4305,-2.4658,-2.9814,-1.4662
1992q4,-2.1662,-1.6762,0.87063,0.4766,-1.7498,-2.0961,-2.185,-1.0455
1993q1,-2.8511,-2.9545,-0.27839,-0.44804,-1.8728,-1.359,-2.2003,-1.0261
1993q2,-1.8989,-1.8287,0.050889,-0.15125,-1.6183,-1.7359,-1.5965,-0.66374
1993q3,-1.9706,-1.7587,-0.029197,-0.18888,-1.1234,-0.94586,-1.5469,-0.49494
1993q4,-0.55367,0.092672,1.1557,0.39226,-0.35271,-1.3839,-0.7128,-0.25299
1994q1,-0.22423,0.12988,1.0582,0.14346,0.14031,-0.5422,-0.11211,0.13008
1994q2,1.6983,1.9405,2.1819,1.0466,1.9235,0.9841,1.7659,1.3608
1994q3,1.416,1.5753,1.5967,0.63888,1.7364,1.0982,1.7689,1.0825
1994q4,2.3625,3.3282,2.6743,1.6455,3.5701,2.57,2.7055,1.6527
1995q1,1.836,2.2098,1.4354,0.93771,2.94,2.9266,2.3213,1.2998
1995q2,1.2363,2.0719,0.85016,0.85394,1.9509,2.1387,1.6277,0.66871
1995q3,1.0732,2.7469,1.2825,1.2277,1.548,1.1925,1.1874,0.12797
1995q4,0.65636,2.1074,0.90121,0.94236,1.1042,1.4217,0.89037,-0.1262
1996q1,-0.069863,1.6679,0.516,0.6465,0.34158,0.57915,0.18535,-0.62956
1996q2,1.4554,3.3985,2.151,1.5771,1.6413,0.91997,1.3732,0.20567
1996q3,0.80063,1.9863,1.24,0.82902,1.1302,1.3013,1.2123,-0.066048
1996q4,1.1993,2.5101,1.5017,1.0068,1.051,0.82184,1.3796,0.13114
1997q1,0.57084,2.0242,1.1483,0.77596,0.92605,1.18,0.99689,-0.054669
1997q2,2.0655,3.5777,2.375,1.8051,2.275,1.8428,2.0449,0.64217
1997q3,1.5032,3.4013,2.4214,1.7113,2.7215,2.1122,1.7371,0.56858
1997q4,1.1906,2.5471,1.3504,0.97858,1.8495,1.5912,1.5063,0.14234
1998q1,1.1942,2.766,1.3346,1.0764,1.9256,1.8224,1.7039,0.49905
1998q2,1.0557,2.4019,1.0081,0.86965,1.5291,1.6297,1.6401,0.31397
